"","X","id","dia","sentence","rating","Blocking","Identidy"
"1",1,"S001","nor","s1",1,"yes","no"
"2",1,"S001","nor","s2",1,"no","no"
"3",1,"S001","nor","s3",4,"no","yes"
"4",1,"S001","nor","s4",5,"no","yes"
"5",2,"S002","nor","s1",2,"yes","no"
"6",2,"S002","nor","s2",3,"no","no"
"7",2,"S002","nor","s3",2,"no","yes"
"8",2,"S002","nor","s4",4,"no","yes"
"9",3,"S003","nor","s1",1,"yes","no"
"10",3,"S003","nor","s2",2,"no","no"
"11",3,"S003","nor","s3",4,"no","yes"
"12",3,"S003","nor","s4",3,"no","yes"
"13",4,"S004","nor","s1",1,"yes","no"
"14",4,"S004","nor","s2",4,"no","no"
"15",4,"S004","nor","s3",2,"no","yes"
"16",4,"S004","nor","s4",3,"no","yes"
"17",5,"S005","nor","s1",1,"yes","no"
"18",5,"S005","nor","s2",3,"no","no"
"19",5,"S005","nor","s3",3,"no","yes"
"20",5,"S005","nor","s4",5,"no","yes"
"21",6,"S006","nor","s1",1,"yes","no"
"22",6,"S006","nor","s2",4,"no","no"
"23",6,"S006","nor","s3",4,"no","yes"
"24",6,"S006","nor","s4",4,"no","yes"
"25",7,"S007","nor","s1",1,"yes","no"
"26",7,"S007","nor","s2",1,"no","no"
"27",7,"S007","nor","s3",4,"no","yes"
"28",7,"S007","nor","s4",4,"no","yes"
"29",8,"S008","nor","s1",1,"yes","no"
"30",8,"S008","nor","s2",2,"no","no"
"31",8,"S008","nor","s3",2,"no","yes"
"32",8,"S008","nor","s4",4,"no","yes"
"33",9,"S009","nor","s1",1,"yes","no"
"34",9,"S009","nor","s2",3,"no","no"
"35",9,"S009","nor","s3",2,"no","yes"
"36",9,"S009","nor","s4",3,"no","yes"
"37",10,"S010","nor","s1",1,"yes","no"
"38",10,"S010","nor","s2",2,"no","no"
"39",10,"S010","nor","s3",3,"no","yes"
"40",10,"S010","nor","s4",4,"no","yes"
"41",11,"S011","nor","s1",1,"yes","no"
"42",11,"S011","nor","s2",2,"no","no"
"43",11,"S011","nor","s3",2,"no","yes"
"44",11,"S011","nor","s4",4,"no","yes"
"45",12,"S012","nor","s1",3,"yes","no"
"46",12,"S012","nor","s2",3,"no","no"
"47",12,"S012","nor","s3",2,"no","yes"
"48",12,"S012","nor","s4",4,"no","yes"
"49",13,"S013","nor","s1",1,"yes","no"
"50",13,"S013","nor","s2",1,"no","no"
"51",13,"S013","nor","s3",2,"no","yes"
"52",13,"S013","nor","s4",4,"no","yes"
"53",14,"S014","nor","s1",1,"yes","no"
"54",14,"S014","nor","s2",1,"no","no"
"55",14,"S014","nor","s3",2,"no","yes"
"56",14,"S014","nor","s4",3,"no","yes"
"57",15,"S015","nor","s1",1,"yes","no"
"58",15,"S015","nor","s2",2,"no","no"
"59",15,"S015","nor","s3",1,"no","yes"
"60",15,"S015","nor","s4",6,"no","yes"
"61",16,"S016","nor","s1",1,"yes","no"
"62",16,"S016","nor","s2",1,"no","no"
"63",16,"S016","nor","s3",3,"no","yes"
"64",16,"S016","nor","s4",5,"no","yes"
"65",17,"S017","nor","s1",3,"yes","no"
"66",17,"S017","nor","s2",2,"no","no"
"67",17,"S017","nor","s3",3,"no","yes"
"68",17,"S017","nor","s4",5,"no","yes"
"69",18,"S018","nor","s1",2,"yes","no"
"70",18,"S018","nor","s2",2,"no","no"
"71",18,"S018","nor","s3",3,"no","yes"
"72",18,"S018","nor","s4",3,"no","yes"
"73",19,"S019","nor","s1",2,"yes","no"
"74",19,"S019","nor","s2",3,"no","no"
"75",19,"S019","nor","s3",3,"no","yes"
"76",19,"S019","nor","s4",4,"no","yes"
"77",20,"S020","nor","s1",2,"yes","no"
"78",20,"S020","nor","s2",4,"no","no"
"79",20,"S020","nor","s3",4,"no","yes"
"80",20,"S020","nor","s4",3,"no","yes"
"81",21,"S021","nor","s1",1,"yes","no"
"82",21,"S021","nor","s2",1,"no","no"
"83",21,"S021","nor","s3",1,"no","yes"
"84",21,"S021","nor","s4",4,"no","yes"
"85",22,"S022","nor","s1",1,"yes","no"
"86",22,"S022","nor","s2",3,"no","no"
"87",22,"S022","nor","s3",4,"no","yes"
"88",22,"S022","nor","s4",4,"no","yes"
"89",23,"S023","nor","s1",1,"yes","no"
"90",23,"S023","nor","s2",1,"no","no"
"91",23,"S023","nor","s3",1,"no","yes"
"92",23,"S023","nor","s4",5,"no","yes"
"93",24,"S024","nor","s1",1,"yes","no"
"94",24,"S024","nor","s2",3,"no","no"
"95",24,"S024","nor","s3",2,"no","yes"
"96",24,"S024","nor","s4",3,"no","yes"
"97",25,"S025","nor","s1",1,"yes","no"
"98",25,"S025","nor","s2",1,"no","no"
"99",25,"S025","nor","s3",4,"no","yes"
"100",25,"S025","nor","s4",2,"no","yes"
"101",26,"S026","nor","s1",3,"yes","no"
"102",26,"S026","nor","s2",3,"no","no"
"103",26,"S026","nor","s3",2,"no","yes"
"104",26,"S026","nor","s4",5,"no","yes"
"105",27,"S027","nor","s1",3,"yes","no"
"106",27,"S027","nor","s2",3,"no","no"
"107",27,"S027","nor","s3",4,"no","yes"
"108",27,"S027","nor","s4",4,"no","yes"
"109",28,"S028","nor","s1",1,"yes","no"
"110",28,"S028","nor","s2",1,"no","no"
"111",28,"S028","nor","s3",2,"no","yes"
