id,dia,sentence,rating,Blocking,Identidy
S001,nor,s1,1,yes,no
S001,nor,s2,1,no,no
S001,nor,s3,4,no,yes
S001,nor,s4,5,no,yes
S002,nor,s1,2,yes,no
S002,nor,s2,3,no,no
S002,nor,s3,2,no,yes
S002,nor,s4,4,no,yes
S003,nor,s1,1,yes,no
S003,nor,s2,2,no,no
S003,nor,s3,4,no,yes
S003,nor,s4,3,no,yes
S004,nor,s1,1,yes,no
S004,nor,s2,4,no,no
S004,nor,s3,2,no,yes
S004,nor,s4,3,no,yes
S005,nor,s1,1,yes,no
S005,nor,s2,3,no,no
S005,nor,s3,3,no,yes
S005,nor,s4,5,no,yes
S006,nor,s1,1,yes,no
S006,nor,s2,4,no,no
S006,nor,s3,4,no,yes
S006,nor,s4,4,no,yes
S007,nor,s1,1,yes,no
S007,nor,s2,1,no,no
S007,nor,s3,4,no,yes
S007,nor,s4,4,no,yes
S008,nor,s1,1,yes,no
S008,nor,s2,2,no,no
S008,nor,s3,2,no,yes
S008,nor,s4,4,no,yes
S009,nor,s1,1,yes,no
S009,nor,s2,3,no,no
S009,nor,s3,2,no,yes
S009,nor,s4,3,no,yes
S010,nor,s1,1,yes,no
S010,nor,s2,2,no,no
S010,nor,s3,3,no,yes
S010,nor,s4,4,no,yes
S011,nor,s1,1,yes,no
S011,nor,s2,2,no,no
S011,nor,s3,2,no,yes
S011,nor,s4,4,no,yes
S012,nor,s1,3,yes,no
S012,nor,s2,3,no,no
S012,nor,s3,2,no,yes
S012,nor,s4,4,no,yes
S013,nor,s1,1,yes,no
S013,nor,s2,1,no,no
S013,nor,s3,2,no,yes
S013,nor,s4,4,no,yes
S014,nor,s1,1,yes,no
S014,nor,s2,1,no,no
S014,nor,s3,2,no,yes
S014,nor,s4,3,no,yes
S015,nor,s1,1,yes,no
S015,nor,s2,2,no,no
S015,nor,s3,1,no,yes
S015,nor,s4,6,no,yes
S016,nor,s1,1,yes,no
S016,nor,s2,1,no,no
S016,nor,s3,3,no,yes
S016,nor,s4,5,no,yes
S017,nor,s1,3,yes,no
S017,nor,s2,2,no,no
S017,nor,s3,3,no,yes
S017,nor,s4,5,no,yes
S018,nor,s1,2,yes,no
S018,nor,s2,2,no,no
S018,nor,s3,3,no,yes
S018,nor,s4,3,no,yes
S019,nor,s1,2,yes,no
S019,nor,s2,3,no,no
S019,nor,s3,3,no,yes
S019,nor,s4,4,no,yes
S020,nor,s1,2,yes,no
S020,nor,s2,4,no,no
S020,nor,s3,4,no,yes
S020,nor,s4,3,no,yes
S021,nor,s1,1,yes,no
S021,nor,s2,1,no,no
S021,nor,s3,1,no,yes
S021,nor,s4,4,no,yes
S022,nor,s1,1,yes,no
S022,nor,s2,3,no,no
S022,nor,s3,4,no,yes
S022,nor,s4,4,no,yes
S023,nor,s1,1,yes,no
S023,nor,s2,1,no,no
S023,nor,s3,1,no,yes
S023,nor,s4,5,no,yes
S024,nor,s1,1,yes,no
S024,nor,s2,3,no,no
S024,nor,s3,2,no,yes
S024,nor,s4,3,no,yes
S025,nor,s1,1,yes,no
S025,nor,s2,1,no,no
S025,nor,s3,4,no,yes
S025,nor,s4,2,no,yes
S026,nor,s1,3,yes,no
S026,nor,s2,3,no,no
S026,nor,s3,2,no,yes
S026,nor,s4,5,no,yes
S027,nor,s1,3,yes,no
S027,nor,s2,3,no,no
S027,nor,s3,4,no,yes
S027,nor,s4,4,no,yes
S028,nor,s1,1,yes,no
S028,nor,s2,1,no,no
S028,nor,s3,2,no,yes
S028,nor,s4,2,no,yes
S029,nor,s1,1,yes,no
S029,nor,s2,3,no,no
S029,nor,s3,5,no,yes
S029,nor,s4,4,no,yes
S030,nor,s1,1,yes,no
S030,nor,s2,2,no,no
S030,nor,s3,3,no,yes
S030,nor,s4,6,no,yes
S031,nor,s1,1,yes,no
S031,nor,s2,1,no,no
S031,nor,s3,4,no,yes
S031,nor,s4,3,no,yes
S032,nor,s1,2,yes,no
S032,nor,s2,2,no,no
S032,nor,s3,2,no,yes
S032,nor,s4,6,no,yes
S033,nor,s1,1,yes,no
S033,nor,s2,1,no,no
S033,nor,s3,2,no,yes
S033,nor,s4,3,no,yes
S034,nor,s1,2,yes,no
S034,nor,s2,2,no,no
S034,nor,s3,3,no,yes
S034,nor,s4,5,no,yes
S035,nor,s1,1,yes,no
S035,nor,s2,3,no,no
S035,nor,s3,4,no,yes
S035,nor,s4,3,no,yes
S036,nor,s1,1,yes,no
S036,nor,s2,2,no,no
S036,nor,s3,3,no,yes
S036,nor,s4,2,no,yes
S037,nor,s1,1,yes,no
S037,nor,s2,1,no,no
S037,nor,s3,3,no,yes
